,date,location_ordinal,sku,price,discount,color_desc,style_desc,pid_desc,district_ordinal,state_ordinal,Discount,store_ID
24510,2016-12-28,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
24539,2016-12-27,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
24634,2016-12-29,3,651,8.0,1.3,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.1625,943
24747,2017-01-05,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
24780,2017-01-04,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
24962,2017-01-12,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
25004,2017-01-14,3,651,8.0,0.0,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.0,943
25733,2017-02-18,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
25765,2017-02-17,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
25807,2017-02-20,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
25855,2017-02-19,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
25969,2017-02-16,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
25991,2017-02-15,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
26020,2017-02-26,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
26160,2017-02-22,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
26199,2017-02-21,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
26249,2017-02-24,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
26283,2017-02-23,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
26759,2017-03-24,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
26814,2017-03-18,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
26859,2017-03-20,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
26995,2017-04-01,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
27123,2017-03-27,3,651,8.0,0.0,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.0,943
27167,2017-04-07,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
27226,2017-04-06,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
27271,2017-04-09,3,651,8.0,2.04,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.255,943
27333,2017-04-08,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
27473,2017-04-05,3,651,8.0,2.74,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.3425,943
27566,2017-04-15,3,651,8.0,0.0,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.0,943
27877,2017-04-12,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
28379,2017-04-26,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
29179,2017-05-24,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
29384,2017-05-23,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
29502,2017-06-01,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
29534,2017-06-04,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
29589,2017-06-03,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
29789,2017-05-30,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
29832,2017-06-10,3,651,8.0,2.28,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.285,943
29877,2017-06-09,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
29934,2017-06-12,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
30075,2017-06-05,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
30159,2017-06-07,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
30265,2017-06-17,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
30522,2017-06-16,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
30640,2017-06-26,3,651,8.0,0.0,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.0,943
30682,2017-06-25,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
30751,2017-06-28,3,651,8.0,1.74,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.2175,943
30798,2017-06-27,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
